,name,number_votes,share_votes,district,affiliation
538,IGNÁTH KITTI,2067,3.17,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 01. számú OEVK - Érd",MKKP
539,DR. ASZTALOS ÉVA,1527,2.34,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 01. számú OEVK - Érd",Others
540,VÁRADI VALENTIN,729,1.12,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 01. számú OEVK - Érd",MEMO
541,MASZÁRIK PATRIK,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 01. számú OEVK - Érd",Normal party
542,MENCZER TAMÁS,34810,46.77,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 02. számú OEVK - Budakeszi",Fidesz/KDNP
543,DR. SZÉL BERNADETT,33432,44.92,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 02. számú OEVK - Budakeszi",Dialogue-coalition
544,GYÖRGY JÓZSEF,2700,3.63,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 02. számú OEVK - Budakeszi",Others
545,JAKAB EDINA,2399,3.22,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 02. számú OEVK - Budakeszi",MKKP
546,DR. BOGÓ DÁNIEL LÁSZLÓ,779,1.05,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 02. számú OEVK - Budakeszi",MEMO
547,KEREKES ERZSÉBET,302,0.41,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 02. számú OEVK - Budakeszi",Normal party
548,DR. VITÁLYOS ESZTER,36877,51.94,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 03. számú OEVK - Szentendre",Fidesz/KDNP
549,BUZINKAY GYÖRGY,26540,37.38,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 03. számú OEVK - Szentendre",Dialogue-coalition
550,PÁL BÉLA,3051,4.3,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 03. számú OEVK - Szentendre",Others
551,KÖVESDI MIKLÓS,3035,4.27,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 03. számú OEVK - Szentendre",MKKP
552,POLOCSÁNYI BÉLA,819,1.15,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 03. számú OEVK - Szentendre",MEMO
553,TIHANYI CSABA,391,0.55,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 03. számú OEVK - Szentendre",Normal party
554,PÁLMAI FERENC,284,0.4,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 03. számú OEVK - Szentendre",Others
555,RÉTVÁRI BENCE,30747,55.46,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 04. számú OEVK - Vác",Fidesz/KDNP
556,INOTAY GERGELY,18759,33.83,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 04. számú OEVK - Vác",Dialogue-coalition
557,DR. PÁLI JENŐ,3242,5.85,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 04. számú OEVK - Vác",Others
558,KORGA GERGELY,1783,3.22,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 04. számú OEVK - Vác",MKKP
559,MANTZOURAKIS SARANTIS,426,0.77,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 04. számú OEVK - Vác",MEMO
560,PINTÉR LÁSZLÓ,384,0.69,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 04. számú OEVK - Vác",Normal party
561,SIMON JÓZSEF FERENC,102,0.18,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 04. számú OEVK - Vác",Others
562,TUZSON BENCE,34390,46.3,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 05. számú OEVK - Dunakeszi",Fidesz/KDNP
563,DOROSZ DÁVID,31228,42.04,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 05. számú OEVK - Dunakeszi",Dialogue-coalition
564,KOVÁCS MÁTYÁS,3499,4.71,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 05. számú OEVK - Dunakeszi",Others
565,BÜRGER ZOLTÁN,2801,3.77,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 05. számú OEVK - Dunakeszi",MKKP
566,KOVÁCS ROXÁNA,1274,1.72,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 05. számú OEVK - Dunakeszi",MEMO
567,LŐRINCZ LÁSZLÓ,624,0.84,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 05. számú OEVK - Dunakeszi",Others
568,SZUCHÁNYI GÁBOR,462,0.62,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 05. számú OEVK - Dunakeszi",Normal party
569,NAGY FERENC,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 05. számú OEVK - Dunakeszi",Others
570,PAPP JÁNOS,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 05. számú OEVK - Dunakeszi",Others
571,VÉCSEY LÁSZLÓ,33188,49.05,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 06. számú OEVK - Gödöllő",Fidesz/KDNP
572,HOHN KRISZTINA,25826,38.17,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 06. számú OEVK - Gödöllő",Dialogue-coalition
573,HALÁSZ GÉZA,3911,5.78,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 06. számú OEVK - Gödöllő",Others
574,BŐSZE GÁBOR,2290,3.38,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 06. számú OEVK - Gödöllő",MKKP
575,KOPKA SÁNDOR ZOLTÁN,1178,1.74,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 06. számú OEVK - Gödöllő",MEMO
576,ANTAL TAMÁS,880,1.3,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 06. számú OEVK - Gödöllő",Others
577,SZIBILLA LÁSZLÓ,385,0.57,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 06. számú OEVK - Gödöllő",Normal party
578,SZENTMIKLÓSI TAMÁS,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 06. számú OEVK - Gödöllő",Others
579,DR. SZŰCS LAJOS,31623,49.22,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 07. számú OEVK - Vecsés",Fidesz/KDNP
580,FRICSOVSZKY-TÓTH PÉTER,23449,36.5,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 07. számú OEVK - Vecsés",Dialogue-coalition
581,SZABÓNÉ PAPP KLÁRA,4219,6.57,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 07. számú OEVK - Vecsés",Others
582,IVÁN PETRA,2915,4.54,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 07. számú OEVK - Vecsés",MKKP
583,BALOGH ISTVÁN,1484,2.31,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 07. számú OEVK - Vecsés",MEMO
584,BOCZ DÁNIEL,558,0.87,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 07. számú OEVK - Vecsés",Normal party
585,BÓNA ZOLTÁN,29584,45.55,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 08. számú OEVK - Szigetszentmiklós",Fidesz/KDNP
586,JÓSZAI TEODÓRA,27701,42.65,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 08. számú OEVK - Szigetszentmiklós",Dialogue-coalition
587,BOTLÓ KORNÉL LEVENTE,3657,5.63,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 08. számú OEVK - Szigetszentmiklós",Others
588,ZSELI BERNADETT,2070,3.19,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 08. számú OEVK - Szigetszentmiklós",MKKP
589,KÁMÁNY JÁNOS KRISZTIÁN,806,1.24,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 08. számú OEVK - Szigetszentmiklós",MEMO
590,DOROGI GYULA,751,1.16,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 08. számú OEVK - Szigetszentmiklós",Others
591,PROHÁSZKA GYÖRGY JÁNOS,373,0.57,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 08. számú OEVK - Szigetszentmiklós",Normal party
592,CZERVÁN GYÖRGY,29632,60.22,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 09. számú OEVK - Nagykáta",Fidesz/KDNP
593,DR. SCHMUCK ERZSÉBET,14096,28.65,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 09. számú OEVK - Nagykáta",Dialogue-coalition
594,DR. LÁSZLÓ PÉTER,3259,6.62,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 09. számú OEVK - Nagykáta",Others
595,KISS KORNÉL,1236,2.51,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 09. számú OEVK - Nagykáta",MKKP
596,VÁRI ZOLTÁN ZSOLT,589,1.2,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 09. számú OEVK - Nagykáta",MEMO
597,BEZZEG BOGLÁRKA,397,0.81,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 09. számú OEVK - Nagykáta",Normal party
598,NÉMET ALEXANDER,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 09. számú OEVK - Nagykáta",Others
599,CSORVÁSI ATTILA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 09. számú OEVK - Nagykáta",Others
600,SÁNDOR ELEMÉR CSABA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 09. számú OEVK - Nagykáta",Others
601,POGÁCSÁS TIBOR,30973,59.71,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 10. számú OEVK - Monor",Fidesz/KDNP
602,SZABÓ REBEKA,14797,28.52,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 10. számú OEVK - Monor",Dialogue-coalition
603,LÁSZLÓ ATTILA,3901,7.52,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 10. számú OEVK - Monor",Others
604,KŐHEGYI RÓBERT,1528,2.95,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 10. számú OEVK - Monor",MKKP
605,ZRUBKA ZITA,677,1.31,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 10. számú OEVK - Monor",MEMO
606,NAGY SÁNDOR,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 10. számú OEVK - Monor",Others
607,KOVÁCS ANDRÁS,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 10. számú OEVK - Monor",Others
608,TÁBI ISTVÁN,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 10. számú OEVK - Monor",Others
609,NORMÁLIS PÁRT,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 10. számú OEVK - Monor",Others
610,PÁNCZÉL KÁROLY,35513,56.81,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 11. számú OEVK - Dabas",Fidesz/KDNP
611,JÁNOSI-LESI ÁGOTA,19824,31.71,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 11. számú OEVK - Dabas",Dialogue-coalition
612,BOBROVÁCZ ANTAL,3769,6.03,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 11. számú OEVK - Dabas",Others
613,FERANCZ NORBERT,1807,2.89,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 11. számú OEVK - Dabas",MKKP
614,SZABÓ LÁSZLÓ,885,1.42,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 11. számú OEVK - Dabas",MEMO
615,MIHÁLY DÁNIEL,550,0.88,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 11. számú OEVK - Dabas",Normal party
616,FEKETE LÁSZLÓ,169,0.27,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 11. számú OEVK - Dabas",Others
617,PETRIK IZABELLA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 11. számú OEVK - Dabas",Others
618,FÖLDI LÁSZLÓ,28244,59.11,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 12. számú OEVK - Cegléd",Fidesz/KDNP
619,ZÁGRÁB NÁNDOR,13696,28.66,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 12. számú OEVK - Cegléd",Dialogue-coalition
620,BARTHA BARNA,3693,7.73,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 12. számú OEVK - Cegléd",Others
621,KIS VIKTOR,1239,2.59,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 12. számú OEVK - Cegléd",MKKP
622,PÁSZTOR ÉVA ILONA,506,1.06,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 12. számú OEVK - Cegléd",MEMO
623,ANDRISKA ISTVÁN,406,0.85,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 12. számú OEVK - Cegléd",Normal party
624,GELENCSÉR ATTILA,20062,47.63,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",Fidesz/KDNP
625,DR. VARGA ISTVÁN,14670,34.83,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",Dialogue-coalition
626,KELEMEN CSABA,2490,5.91,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",Others
627,VARGA ISTVÁN,1849,4.39,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",Others
628,TELEKI-MOLNÁR ZSÓFIA,983,2.33,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",MKKP
629,DR. NADRAI NORBERT JÓZSEF,830,1.97,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",Others
630,HAUSER GERGŐ,755,1.79,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",MEMO
631,HORVÁTH ÁKOS,369,0.88,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",Others
632,VARGA TAMÁS,110,0.26,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",Others
633,BALOGH ALEXANDRA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",Others
634,NORMÁLIS PÁRT,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 01. számú OEVK - Kaposvár",Others
635,SZÁSZFALVI LÁSZLÓ,21571,57.86,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 02. számú OEVK - Barcs",Fidesz/KDNP
636,ANDER BALÁZS,13855,37.16,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 02. számú OEVK - Barcs",Dialogue-coalition
637,HALÁSZNÉ HUNYADI GYÖNGYI,1525,4.09,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 02. számú OEVK - Barcs",Others
638,PALKÓ SÁNDOR,332,0.89,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 02. számú OEVK - Barcs",MEMO
639,GULYÁS JÓZSEF,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 02. számú OEVK - Barcs",Others
640,NORMÁLIS PÁRT,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 02. számú OEVK - Barcs",Others
641,MÓRING JÓZSEF ATTILA,24171,57.92,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 03. számú OEVK - Marcali",Fidesz/KDNP
642,DR. STEINMETZ ÁDÁM,14776,35.41,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 03. számú OEVK - Marcali",Dialogue-coalition
643,JOZÓ TAMÁS,2408,5.77,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 03. számú OEVK - Marcali",Others
644,KAZAI CSABA,374,0.9,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 03. számú OEVK - Marcali",MEMO
645,LUKÁCS ILDIKÓ,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 03. számú OEVK - Marcali",Normal party
646,WITZMANN MIHÁLY,26834,59.94,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 04. számú OEVK - Siófok",Fidesz/KDNP
647,POTOCSKÁNÉ KŐRÖSI ANITA,16010,35.76,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 04. számú OEVK - Siófok",Dialogue-coalition
648,BURDA PATRIK,835,1.87,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 04. számú OEVK - Siófok",MEMO
649,SÜMEGI RITA,751,1.68,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 04. számú OEVK - Siófok",Normal party
650,KNOCH LÁSZLÓ,341,0.76,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 04. számú OEVK - Siófok",Others
651,RÓZSA ATTILA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASOMOGY, 04. számú OEVK - Siófok",Others
652,DR. SZABÓ TÜNDE,23254,44.92,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 01. számú OEVK - Nyíregyháza",Fidesz/KDNP
653,LENGYEL MÁTÉ,21806,42.12,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 01. számú OEVK - Nyíregyháza",Dialogue-coalition
654,DR. HORVÁTH ATTILA,2718,5.25,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 01. számú OEVK - Nyíregyháza",Others
655,NAGY LÁSZLÓ,1124,2.17,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 01. számú OEVK - Nyíregyháza",Others
656,BALÁZS ZSOLT,1075,2.08,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 01. számú OEVK - Nyíregyháza",MKKP
657,DR. HELMECZY LÁSZLÓ,1023,1.98,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 01. számú OEVK - Nyíregyháza",MEMO
658,DR. GŐDÉNY GYÖRGY,772,1.49,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 01. számú OEVK - Nyíregyháza",Normal party
659,DR. VINNAI GYŐZŐ,26277,58.13,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 02. számú OEVK - Nyíregyháza",Fidesz/KDNP
660,ARANYOS GÁBOR,14759,32.65,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 02. számú OEVK - Nyíregyháza",Dialogue-coalition
661,KOVÁCS KOPPÁNY ZOLTÁN,2823,6.25,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 02. számú OEVK - Nyíregyháza",Others
662,KANALAS MELINDA,476,1.05,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 02. számú OEVK - Nyíregyháza",Others
663,KARDOS FERENC,448,0.99,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 02. számú OEVK - Nyíregyháza",MEMO
664,GURCSÁK LÁSZLÓ,417,0.92,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 02. számú OEVK - Nyíregyháza",Normal party
665,KISS BARNABÁS,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 02. számú OEVK - Nyíregyháza",Others
666,LAKATOS TIBOR,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 02. számú OEVK - Nyíregyháza",Others
667,DR. SESZTÁK MIKLÓS,31946,65.31,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 03. számú OEVK - Kisvárda",Fidesz/KDNP
668,TÓTH VIKTOR,12781,26.13,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 03. számú OEVK - Kisvárda",Dialogue-coalition
669,PERDIÁK JÁNOS,2869,5.87,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 03. számú OEVK - Kisvárda",Others
670,DZSUBÁK BALÁZS,770,1.57,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 03. számú OEVK - Kisvárda",MEMO
671,GYÖRKÖSNÉ ORBÁN MÁRIA,351,0.72,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 03. számú OEVK - Kisvárda",Normal party
672,TÓTH PÉTER PÁL,197,0.4,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 03. számú OEVK - Kisvárda",Others
673,DR. TILKI ATTILA,31523,68.71,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 04. számú OEVK - Vásárosnamény",Fidesz/KDNP
674,DR. SÁPI MÓNIKA,11404,24.86,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 04. számú OEVK - Vásárosnamény",Dialogue-coalition
675,BERTICS MIHÁLY,2159,4.71,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 04. számú OEVK - Vásárosnamény",Others
676,SZABÓ MÁRIA,319,0.7,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 04. számú OEVK - Vásárosnamény",Normal party
677,KANTULY ZSOLT,302,0.66,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 04. számú OEVK - Vásárosnamény",MEMO
678,KIRÁLY SZILÁRD,172,0.37,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 04. számú OEVK - Vásárosnamény",Others
679,MUNKÁSPÁRT,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 04. számú OEVK - Vásárosnamény",Others
680,KOVÁCS SÁNDOR,29647,64.79,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 05. számú OEVK - Mátészalka",Fidesz/KDNP
681,FÖLDI ISTVÁN,11250,24.58,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 05. számú OEVK - Mátészalka",Dialogue-coalition
682,DR. APÁTI ISTVÁN,4185,9.15,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 05. számú OEVK - Mátészalka",Others
683,ROLAND ALEX,347,0.76,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 05. számú OEVK - Mátészalka",MEMO
684,NAGY CSABA ATTILA,332,0.73,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 05. számú OEVK - Mátészalka",Normal party
685,DR. SIMON MIKLÓS,29875,65.69,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 06. számú OEVK - Nyírbátor",Fidesz/KDNP
686,TÓTH VIKTOR,12027,26.45,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 06. számú OEVK - Nyírbátor",Dialogue-coalition
687,SZATHMÁRI LAJOS,2252,4.95,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 06. számú OEVK - Nyírbátor",Others
688,POLYÁK CSABA,558,1.23,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 06. számú OEVK - Nyírbátor",MKKP
