name,year,total_loan,average_loan (in years),appearances,starting_formation,goals,average_minutes_played,market_value_at_start (in M €),market_value_at_end (in M €)
Málaga CF,2010,9,"1,0",118,87,3,80',7.00,7.70
Valencia CF,2010,8,"1,0",115,86,14,75',19.40,17.70
FC Barcelona,2010,6,"2,0",182,157,28,88',82.30,55.00
Sevilla FC,2010,6,"1,0",111,101,24,84',7.50,8.00
RCD Espanyol Barcelona,2010,6,"1,0",177,144,23,85',8.10,7.10
Atlético de Madrid,2010,5,"1,0",113,92,16,89',13.00,19.30
CA Osasuna,2010,5,"1,0",138,104,4,88',3.40,2.80
Racing Santander,2010,5,"1,0",101,71,7,80',2.40,1.90
Deportivo de La Coruña,2010,5,"1,0",74,54,4,85',4.60,4.10
Villarreal CF,2010,5,"1,0",90,73,5,77',16.30,12.40
RCD Mallorca,2010,4,"1,0",60,47,10,72',5.90,4.90
Athletic Bilbao,2010,4,"1,0",54,31,2,52',3.90,3.10
Real Sociedad,2010,4,"1,0",37,29,4,87',0.6,0.3
Real Zaragoza,2010,3,"1,0",67,62,4,86',3.80,3.25
Getafe CF,2010,3,"2,0",58,48,-,79',6.00,5.90
Sporting Gijón,2010,2,"1,0",17,12,-,81',0.9,0.8
UD Almería,2010,2,"1,0",22,18,1,81',2.50,1.90
Levante UD,2010,2,"1,0",19,7,1,58',0.2,-
Hércules CF,2010,2,"1,0",36,27,1,91',0.8,0.7
Real Madrid,2010,1,"1,0",19,16,4,86',5.00,4.50
Granada CF,2011,20,"1,0",501,415,75,77',13.50,11.50
Atlético de Madrid,2011,10,"1,0",195,145,26,83',23.10,26.30
Sevilla FC,2011,9,"1,0",219,190,34,87',21.60,27.70
Málaga CF,2011,6,"2,0",122,103,19,79',10.10,9.25
Getafe CF,2011,6,"1,0",124,86,16,85',11.00,9.10
Real Zaragoza,2011,5,"1,0",108,99,2,90',4.55,3.20
CA Osasuna,2011,5,"1,0",87,72,4,85',3.10,2.10
Villarreal CF,2011,5,"1,0",184,156,20,89',13.80,12.55
FC Barcelona,2011,4,"2,0",36,33,2,85',11.50,8.50
Real Madrid,2011,4,"2,0",88,54,7,81',22.50,18.50
Athletic Bilbao,2011,4,"1,0",95,61,10,89',5.60,5.50
RCD Espanyol Barcelona,2011,4,"1,0",79,38,7,84',3.80,3.60
RCD Mallorca,2011,3,"1,0",57,32,9,62',4.90,5.10
Rayo Vallecano,2011,3,"2,0",62,41,2,84',2.10,1.40
Real Sociedad,2011,3,"1,0",32,15,2,55',1.60,1.30
